"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","竜山","伊保",20,6300000,"",130,"","","",95,"1994年","木造","","","南西","公道",4.5,"準住居",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町南栄町","荒井(兵庫)",10,2000000,"",260,"","","",135,"1960年","木造","","","","公道","","１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","時光寺町","曽根(兵庫)",15,3200000,"",65,"","","",55,"1973年","木造","","","","",4,"１低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","曽根町","山陽曽根",5,3900000,"",105,"","","",115,"1972年","木造","","","北","公道",4.2,"１中住専",60,168,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","竜山","伊保",25,10000000,"",270,"","","",150,"1972年","木造","","","北東","公道",4.2,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","竜山","宝殿",25,6000000,"",140,"","","",115,"1992年","木造","","","南西","公道",4,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町小松原","","",1800000,"",85,"","","",80,"1977年","","","","西","公道",4,"２低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","伊保崎","伊保",15,18000000,"",210,"","","",130,"1987年","木造","","","北東","公道",5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中筋","曽根(兵庫)",10,20000000,"",110,"","","",100,"2024年","木造","","","","私道",5,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中筋","曽根(兵庫)",15,12000000,"",265,"","","",150,"1981年","軽量鉄骨造","","","","",2.5,"準住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",20,28000000,"",165,"","","",110,"2019年","木造","","","西","公道",4,"１中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","伊保崎","伊保","",21000000,"",265,"","","",115,"2011年","木造","","","北西","公道",4.1,"１中住専",60,200,"2025年第2四半期",""
