市,種別,価格（万円）,間取り,専有面積（㎡）,土地面積（㎡）,建物面積（㎡）,築年月,交通,所在地,物件名,URL
明石市,マンション,790.0,4LDK,69.95,,,1979年3月,ＪＲ山陽本線「土山」徒歩7分,兵庫県明石市二見町西二見上西二見,サンハイツ土山,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_76578933/
明石市,マンション,798.0,3LDK,57.76,,,1996年8月,山陽電鉄本線「東二見」徒歩17分,兵庫県明石市二見町東二見,プレステージ明石土山2　6階部分,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79226073/
明石市,マンション,810.0,2LDK+S（納戸）,67.85,,,1980年2月,山陽電鉄本線「林崎松江海岸」徒歩12分,兵庫県明石市宮の上,ハイラーク明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20210019/
明石市,マンション,820.0,3LDK,61.45,,,1997年11月,山陽電鉄本線「江井ケ島」徒歩12分,兵庫県明石市大久保町西島,プレステージ明石大久保V,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78726879/
明石市,マンション,840.0,2LDK+S（納戸）,67.37,,,1997年8月,山陽電鉄本線「東二見」徒歩8分,兵庫県明石市二見町東二見,マーレ明石東二見サティスコート,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_75620645/
明石市,マンション,850.0,3LDK,57.14,,,1996年12月,山陽電鉄本線「東二見」徒歩15分,兵庫県明石市二見町東二見,グランプレステージ明石西Ⅱ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20150510/
明石市,マンション,850.0,2LDK,53.35,,,1989年10月,山陽電鉄本線「江井ケ島」徒歩5分,兵庫県明石市大久保町西島,サンエクセル江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20276663/
明石市,マンション,850.0,3LDK,57.14,,,1996年12月,山陽電鉄本線「東二見」徒歩13分,兵庫県明石市二見町東二見,グランプレステージ明石西Ⅱ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20189319/
明石市,マンション,860.0,3LDK,59.35,,,1997年11月,山陽電鉄本線「江井ケ島」徒歩14分,兵庫県明石市大久保町西島,プレステージ明石大久保Ⅴ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20258686/
明石市,マンション,880.0,3LDK,61.54,,,1995年9月,ＪＲ山陽本線「土山」徒歩19分,兵庫県明石市魚住町清水,「空家になりました！」プレステージ明石魚住Ⅲ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78868566/
明石市,マンション,880.0,3LDK,64.38,,,1979年2月,山陽電鉄本線「西新町」徒歩3分,兵庫県明石市西新町２,リバーサイドパレス明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79176015/
明石市,マンション,880.0,3LDK,61.93,,,1997年11月,山陽電鉄本線「江井ケ島」徒歩12分,兵庫県明石市大久保町西島,プレステージ明石大久保V　880万円,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20218764/
明石市,マンション,880.0,3LDK,63.0,,,1992年5月,山陽電鉄本線「江井ケ島」徒歩5分,兵庫県明石市大久保町西島,リフォーム完了♪オーシャンビュー♪ライオンズマンショ…,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20233957/
明石市,マンション,880.0,3LDK,72.24,,,1979年2月,山陽電鉄本線「西新町」徒歩3分,兵庫県明石市西新町２,リバーサイドパレス明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77427437/
明石市,マンション,880.0,2LDK+S（納戸）,65.45,,,1990年2月,山陽電鉄本線「西江井ケ島」徒歩6分,兵庫県明石市大久保町西島,ライオンズマンション明石西江井ケ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78719714/
明石市,マンション,880.0,3LDK,76.92,,,1991年12月,山陽電鉄本線「山陽魚住」徒歩3分,兵庫県明石市魚住町住吉２,ライオンズマンション明石魚住第2,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20272595/
明石市,マンション,888.0,1LDK+S（納戸）,69.27,,,1975年1月,ＪＲ山陽本線「朝霧」徒歩12分,兵庫県明石市朝霧東町３,朝霧マンションB棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20008751/
明石市,マンション,888.0,3LDK,70.76,,,1991年2月,山陽電鉄本線「東二見」徒歩10分,兵庫県明石市魚住町西岡,パル明石魚住スカイマンション　1階,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20142209/
明石市,マンション,888.0,3LDK,72.76,,,1994年3月,ＪＲ山陽本線「土山」徒歩9分,兵庫県明石市二見町西二見,アドリーム明石土山,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20272825/
明石市,マンション,890.0,2LDK,53.35,,,1989年10月,山陽電鉄本線「江井ケ島」徒歩5分,兵庫県明石市大久保町西島238-1,サンエクセル江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20232532/
明石市,マンション,890.0,2LDK,53.35,,,1989年10月,山陽電鉄本線「江井ケ島」徒歩5分,兵庫県明石市大久保町西島238-1,サンエクセル江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79053136/
