"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","加古川",25,24000000,"",140,"","","",125,"2004年","木造","","","南東","公道",5.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","尾上の松","",3000000,"",100,"","","",85,"","","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","尾上の松",20,7000000,"",135,"","","",90,"1998年","木造","","","","",5.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","加古川",15,6900000,"",105,"","","",75,"1976年","木造","","","南西","公道",4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","日岡",5,32000000,"",210,"","","",175,"2000年","軽量鉄骨造","","","","",12.4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","加古川",20,12000000,"",255,"","","",125,"1990年","軽量鉄骨造","","","","",4.2,"１中住専",60,168,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","宝殿","30分～60分",16000000,"",140,"","","",100,"2013年","木造","","","南東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","加古川町","加古川",20,28000000,"",150,"","","",110,"2017年","木造","","","南","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","米田町","宝殿",25,7800000,"",165,"","","",140,"1987年","木造","","","南","私道",2.5,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","米田町","宝殿",5,1700000,"",55,"","","",25,"1966年","木造","","","","","","近隣商業",60,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","米田町","宝殿",10,27000000,"",135,"","","",110,"2016年","木造","","","南東","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","神野町","神野",10,9000000,"",135,"","","",105,"1997年","木造","","","南","公道",5.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","土山",15,25000000,"",120,"","","",100,"2015年","木造","","","","",5.3,"工業",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","東加古川",25,31000000,"",385,"","","",130,"2008年","木造","","","","",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","平岡町","東加古川",20,7300000,"",120,"","","",95,"1982年","木造","","","","",6.3,"工業",60,200,"2024年第4四半期",""
