市,取引価格（万円）,種別,価格区分,建築年,延床面積（㎡）,面積（㎡）,地区名,取引時期
高砂市,670.0,戸建て,成約価格情報,1983年,90.0,100.0,阿弥陀町,2025年第2四半期
高砂市,960.0,戸建て,成約価格情報,1987年,90.0,120.0,阿弥陀町,2025年第2四半期
高砂市,980.0,戸建て,成約価格情報,1988年,100.0,330.0,阿弥陀町,2025年第2四半期
高砂市,530.0,戸建て,成約価格情報,1985年,110.0,135.0,阿弥陀町,2025年第2四半期
高砂市,1700.0,戸建て,成約価格情報,2012年,95.0,165.0,阿弥陀町,2025年第2四半期
高砂市,1200.0,戸建て,成約価格情報,1988年,160.0,250.0,伊保東,2025年第2四半期
高砂市,400.0,戸建て,成約価格情報,1976年,65.0,130.0,中島,2025年第2四半期
高砂市,550.0,戸建て,成約価格情報,1970年,55.0,80.0,神爪,2025年第2四半期
高砂市,730.0,戸建て,成約価格情報,1982年,140.0,115.0,阿弥陀,2025年第3四半期
高砂市,2200.0,戸建て,成約価格情報,2009年,130.0,195.0,阿弥陀町,2025年第3四半期
高砂市,780.0,戸建て,成約価格情報,1984年,85.0,135.0,阿弥陀町,2025年第3四半期
高砂市,1200.0,戸建て,成約価格情報,1991年,165.0,170.0,阿弥陀町,2025年第3四半期
高砂市,1700.0,戸建て,成約価格情報,2012年,95.0,165.0,阿弥陀町,2025年第3四半期
高砂市,680.0,戸建て,成約価格情報,1984年,95.0,120.0,中島,2025年第3四半期
高砂市,2600.0,戸建て,成約価格情報,2005年,95.0,130.0,中島,2025年第3四半期
高砂市,730.0,戸建て,不動産取引価格情報,1982年,140.0,115.0,阿弥陀,2025年第3四半期
高砂市,770.0,戸建て,不動産取引価格情報,1973年,135.0,120.0,阿弥陀,2025年第1四半期
高砂市,1500.0,戸建て,不動産取引価格情報,1998年,130.0,250.0,阿弥陀,2024年第4四半期
高砂市,2000.0,戸建て,不動産取引価格情報,2023年,100.0,135.0,阿弥陀町,2025年第3四半期
高砂市,250.0,戸建て,不動産取引価格情報,1976年,60.0,80.0,阿弥陀町,2025年第3四半期
高砂市,820.0,戸建て,不動産取引価格情報,2009年,50.0,220.0,阿弥陀町,2025年第2四半期
高砂市,4300.0,戸建て,不動産取引価格情報,1986年,270.0,1700.0,阿弥陀町,2025年第2四半期
高砂市,200.0,戸建て,不動産取引価格情報,1986年,30.0,460.0,阿弥陀町,2025年第2四半期
高砂市,60.0,戸建て,不動産取引価格情報,1984年,50.0,100.0,阿弥陀町,2025年第2四半期
高砂市,80.0,戸建て,不動産取引価格情報,1978年,80.0,115.0,阿弥陀町,2025年第1四半期
高砂市,3000.0,戸建て,不動産取引価格情報,2023年,95.0,120.0,阿弥陀町,2024年第4四半期
高砂市,2300.0,戸建て,不動産取引価格情報,2025年,100.0,125.0,阿弥陀町,2024年第4四半期
高砂市,2900.0,戸建て,不動産取引価格情報,2024年,105.0,170.0,阿弥陀町,2024年第4四半期
高砂市,2000.0,戸建て,不動産取引価格情報,2024年,100.0,130.0,阿弥陀町,2024年第4四半期
高砂市,200.0,戸建て,不動産取引価格情報,1975年,65.0,75.0,阿弥陀町,2024年第4四半期
高砂市,2000.0,戸建て,不動産取引価格情報,2024年,100.0,155.0,阿弥陀町,2024年第4四半期
高砂市,2100.0,戸建て,不動産取引価格情報,2007年,280.0,240.0,阿弥陀町,2024年第4四半期
高砂市,6600.0,戸建て,不動産取引価格情報,2012年,260.0,1300.0,荒井町扇町,2025年第2四半期
高砂市,1500.0,戸建て,不動産取引価格情報,1979年,85.0,185.0,荒井町紙町,2024年第4四半期
高砂市,700.0,戸建て,不動産取引価格情報,1997年,95.0,120.0,荒井町小松原,2025年第2四半期
高砂市,4400.0,戸建て,不動産取引価格情報,2025年,115.0,165.0,荒井町小松原,2025年第2四半期
高砂市,1200.0,戸建て,不動産取引価格情報,2023年,85.0,125.0,荒井町小松原,2025年第1四半期
高砂市,750.0,戸建て,不動産取引価格情報,1985年,85.0,125.0,荒井町小松原,2024年第4四半期
高砂市,1100.0,戸建て,不動産取引価格情報,1987年,105.0,140.0,荒井町小松原,2024年第4四半期
高砂市,250.0,戸建て,不動産取引価格情報,1977年,110.0,110.0,荒井町千鳥,2025年第2四半期
高砂市,1500.0,戸建て,不動産取引価格情報,1961年,165.0,290.0,荒井町千鳥,2025年第3四半期
高砂市,2600.0,戸建て,不動産取引価格情報,2023年,100.0,125.0,荒井町東本町,2025年第3四半期
高砂市,2400.0,戸建て,不動産取引価格情報,2026年,90.0,90.0,荒井町若宮町,2025年第3四半期
高砂市,960.0,戸建て,不動産取引価格情報,,,165.0,伊保,2025年第2四半期
高砂市,2000.0,戸建て,不動産取引価格情報,1964年,140.0,360.0,伊保,2025年第2四半期
高砂市,300.0,戸建て,不動産取引価格情報,1974年,115.0,145.0,伊保崎,2024年第4四半期
