市,取引価格（万円）,種別,価格区分,建築年,延床面積（㎡）,面積（㎡）,地区名,取引時期
加古川市,2500.0,戸建て,不動産取引価格情報,1981年,360.0,480.0,加古川町,2025年第1四半期
加古川市,5700.0,戸建て,不動産取引価格情報,2025年,100.0,155.0,加古川町,2025年第1四半期
加古川市,3500.0,戸建て,不動産取引価格情報,2025年,105.0,135.0,加古川町,2025年第1四半期
加古川市,3800.0,戸建て,不動産取引価格情報,1992年,160.0,185.0,加古川町,2025年第1四半期
加古川市,300.0,戸建て,不動産取引価格情報,1974年,50.0,60.0,加古川町,2025年第1四半期
加古川市,6200.0,戸建て,不動産取引価格情報,,,160.0,加古川町,2025年第1四半期
加古川市,600.0,戸建て,不動産取引価格情報,,80.0,65.0,加古川町,2024年第4四半期
加古川市,3000.0,戸建て,不動産取引価格情報,2024年,100.0,115.0,加古川町,2024年第4四半期
加古川市,600.0,戸建て,不動産取引価格情報,1954年,95.0,55.0,加古川町,2024年第4四半期
加古川市,2000.0,戸建て,不動産取引価格情報,1986年,120.0,95.0,加古川町,2024年第4四半期
加古川市,4700.0,戸建て,不動産取引価格情報,2023年,100.0,125.0,加古川町,2024年第4四半期
加古川市,7900.0,戸建て,不動産取引価格情報,2025年,130.0,190.0,加古川町,2024年第4四半期
加古川市,2500.0,戸建て,不動産取引価格情報,1988年,190.0,300.0,加古川町,2024年第4四半期
加古川市,400.0,戸建て,不動産取引価格情報,1973年,60.0,70.0,加古川町,2024年第4四半期
加古川市,1500.0,戸建て,不動産取引価格情報,1984年,85.0,100.0,加古川町,2024年第4四半期
加古川市,3600.0,戸建て,不動産取引価格情報,2025年,110.0,130.0,加古川町,2024年第4四半期
加古川市,4300.0,戸建て,不動産取引価格情報,2025年,105.0,160.0,加古川町,2024年第4四半期
加古川市,2000.0,戸建て,不動産取引価格情報,,,300.0,加古川町,2025年第3四半期
加古川市,400.0,戸建て,不動産取引価格情報,1982年,85.0,95.0,加古川町,2025年第3四半期
加古川市,1100.0,戸建て,不動産取引価格情報,1988年,95.0,125.0,加古川町,2025年第2四半期
加古川市,1200.0,戸建て,不動産取引価格情報,1979年,120.0,170.0,加古川町,2025年第2四半期
加古川市,3700.0,戸建て,不動産取引価格情報,2025年,100.0,130.0,加古川町,2025年第1四半期
加古川市,450.0,戸建て,不動産取引価格情報,1977年,80.0,125.0,加古川町,2024年第4四半期
加古川市,2800.0,戸建て,不動産取引価格情報,2017年,105.0,150.0,加古川町,2024年第4四半期
加古川市,480.0,戸建て,不動産取引価格情報,1988年,120.0,170.0,上荘町,2024年第4四半期
加古川市,1200.0,戸建て,不動産取引価格情報,1954年,125.0,670.0,上荘町,2024年第4四半期
加古川市,120.0,戸建て,不動産取引価格情報,1966年,95.0,200.0,上荘町,2024年第4四半期
加古川市,580.0,戸建て,不動産取引価格情報,1975年,145.0,230.0,上荘町都台,2025年第3四半期
加古川市,1.0,戸建て,不動産取引価格情報,1974年,125.0,310.0,上荘町都台,2025年第3四半期
加古川市,600.0,戸建て,不動産取引価格情報,1974年,115.0,220.0,上荘町都台,2024年第4四半期
加古川市,100.0,戸建て,不動産取引価格情報,,50.0,280.0,神野町,2025年第3四半期
加古川市,70.0,戸建て,不動産取引価格情報,1980年,80.0,120.0,神野町,2025年第3四半期
加古川市,300.0,戸建て,不動産取引価格情報,1990年,100.0,145.0,神野町,2024年第4四半期
加古川市,900.0,戸建て,不動産取引価格情報,1997年,105.0,130.0,神野町,2024年第4四半期
加古川市,1800.0,戸建て,不動産取引価格情報,1986年,105.0,220.0,神野町,2024年第4四半期
加古川市,2600.0,戸建て,不動産取引価格情報,2008年,120.0,260.0,神野町,2025年第1四半期
加古川市,2600.0,戸建て,不動産取引価格情報,2006年,150.0,290.0,神野町石守,2024年第4四半期
加古川市,6700.0,戸建て,不動産取引価格情報,,,280.0,神野町福留,2025年第1四半期
加古川市,1100.0,戸建て,不動産取引価格情報,1990年,150.0,195.0,西条山手,2024年第4四半期
加古川市,70.0,戸建て,不動産取引価格情報,1964年,185.0,410.0,志方町,2025年第2四半期
加古川市,630.0,戸建て,不動産取引価格情報,1964年,300.0,610.0,志方町,2025年第1四半期
加古川市,780.0,戸建て,不動産取引価格情報,1986年,195.0,620.0,志方町,2024年第4四半期
加古川市,650.0,戸建て,不動産取引価格情報,1999年,120.0,280.0,志方町,2024年第4四半期
加古川市,3400.0,戸建て,不動産取引価格情報,2025年,,145.0,新神野,2025年第3四半期
加古川市,2600.0,戸建て,不動産取引価格情報,2025年,105.0,145.0,新神野,2025年第3四半期
加古川市,1300.0,戸建て,不動産取引価格情報,1986年,145.0,185.0,新神野,2025年第2四半期
加古川市,2500.0,戸建て,不動産取引価格情報,2003年,50.0,370.0,新神野,2025年第2四半期
加古川市,1500.0,戸建て,不動産取引価格情報,1995年,,200.0,新神野,2025年第2四半期
加古川市,5100.0,戸建て,不動産取引価格情報,2025年,,230.0,新神野,2025年第2四半期
加古川市,1800.0,戸建て,不動産取引価格情報,1996年,125.0,250.0,新神野,2025年第1四半期
加古川市,930.0,戸建て,不動産取引価格情報,1970年,120.0,220.0,新神野,2024年第4四半期
加古川市,2700.0,戸建て,不動産取引価格情報,2025年,95.0,175.0,西神吉町,2025年第3四半期
加古川市,680.0,戸建て,不動産取引価格情報,1994年,135.0,150.0,西神吉町,2025年第3四半期
加古川市,140.0,戸建て,不動産取引価格情報,1989年,110.0,150.0,西神吉町,2025年第2四半期
加古川市,3200.0,戸建て,不動産取引価格情報,1992年,380.0,1100.0,西神吉町,2025年第1四半期
加古川市,2900.0,戸建て,不動産取引価格情報,2025年,105.0,145.0,西神吉町,2025年第1四半期
加古川市,430.0,戸建て,不動産取引価格情報,1990年,220.0,400.0,西神吉町,2024年第4四半期
加古川市,800.0,戸建て,不動産取引価格情報,2000年,140.0,140.0,西神吉町,2024年第4四半期
加古川市,1400.0,戸建て,不動産取引価格情報,1990年,130.0,185.0,西神吉町,2024年第4四半期
加古川市,4100.0,戸建て,不動産取引価格情報,,,160.0,野口町,2025年第3四半期
加古川市,3900.0,戸建て,不動産取引価格情報,2008年,165.0,290.0,野口町,2025年第2四半期
加古川市,700.0,戸建て,不動産取引価格情報,1998年,85.0,100.0,野口町,2025年第2四半期
加古川市,4300.0,戸建て,不動産取引価格情報,2023年,100.0,140.0,野口町,2025年第2四半期
加古川市,320.0,戸建て,不動産取引価格情報,1969年,130.0,165.0,野口町,2025年第2四半期
加古川市,400.0,戸建て,不動産取引価格情報,1979年,65.0,75.0,野口町,2025年第1四半期
加古川市,210.0,戸建て,不動産取引価格情報,1981年,70.0,70.0,野口町,2024年第4四半期
加古川市,350.0,戸建て,不動産取引価格情報,1980年,70.0,65.0,野口町,2024年第4四半期
加古川市,750.0,戸建て,不動産取引価格情報,2000年,90.0,115.0,野口町,2025年第2四半期
加古川市,250.0,戸建て,不動産取引価格情報,1978年,70.0,120.0,野口町,2025年第2四半期
加古川市,620.0,戸建て,不動産取引価格情報,1998年,110.0,100.0,野口町,2025年第1四半期
加古川市,1000.0,戸建て,不動産取引価格情報,1999年,90.0,135.0,野口町,2024年第4四半期
加古川市,2400.0,戸建て,不動産取引価格情報,2007年,125.0,310.0,野口町,2024年第4四半期
加古川市,1000.0,戸建て,不動産取引価格情報,1997年,95.0,105.0,野口町,2024年第4四半期
加古川市,2500.0,戸建て,不動産取引価格情報,2017年,55.0,185.0,野口町,2024年第4四半期
加古川市,810.0,戸建て,不動産取引価格情報,1992年,85.0,130.0,野口町,2024年第4四半期
加古川市,4200.0,戸建て,不動産取引価格情報,2001年,40.0,1200.0,野口町,2025年第3四半期
加古川市,180.0,戸建て,不動産取引価格情報,1977年,70.0,75.0,野口町,2025年第3四半期
加古川市,2000.0,戸建て,不動産取引価格情報,2013年,110.0,105.0,野口町,2025年第3四半期
加古川市,350.0,戸建て,不動産取引価格情報,1973年,125.0,145.0,野口町,2025年第2四半期
加古川市,500.0,戸建て,不動産取引価格情報,1989年,90.0,115.0,野口町,2025年第2四半期
加古川市,4900.0,戸建て,不動産取引価格情報,,115.0,180.0,野口町,2025年第1四半期
加古川市,2200.0,戸建て,不動産取引価格情報,1972年,125.0,290.0,野口町,2025年第1四半期
加古川市,1700.0,戸建て,不動産取引価格情報,,115.0,340.0,野口町,2025年第1四半期
加古川市,2200.0,戸建て,不動産取引価格情報,2021年,100.0,120.0,野口町,2025年第1四半期
加古川市,2400.0,戸建て,不動産取引価格情報,1997年,185.0,360.0,野口町,2025年第1四半期
加古川市,260.0,戸建て,不動産取引価格情報,1980年,75.0,105.0,野口町,2024年第4四半期
加古川市,3000.0,戸建て,不動産取引価格情報,2024年,110.0,145.0,野口町,2024年第4四半期
加古川市,300.0,戸建て,不動産取引価格情報,1975年,75.0,115.0,野口町,2024年第4四半期
加古川市,4600.0,戸建て,不動産取引価格情報,,,145.0,野口町,2024年第4四半期
加古川市,2600.0,戸建て,不動産取引価格情報,1997年,155.0,175.0,野口町,2024年第4四半期
加古川市,1300.0,戸建て,不動産取引価格情報,1972年,105.0,170.0,野口町,2024年第4四半期
加古川市,230.0,戸建て,不動産取引価格情報,1976年,60.0,60.0,野口町,2024年第4四半期
加古川市,400.0,戸建て,不動産取引価格情報,1972年,60.0,65.0,野口町,2024年第4四半期
加古川市,410.0,戸建て,不動産取引価格情報,1978年,65.0,80.0,野口町,2025年第3四半期
加古川市,3800.0,戸建て,不動産取引価格情報,2025年,95.0,115.0,野口町,2025年第1四半期
加古川市,1100.0,戸建て,不動産取引価格情報,1989年,90.0,105.0,野口町,2024年第4四半期
加古川市,450.0,戸建て,不動産取引価格情報,,75.0,100.0,野口町,2024年第4四半期
加古川市,4800.0,戸建て,不動産取引価格情報,,65.0,175.0,野口町坂元北,2025年第1四半期
加古川市,270.0,戸建て,不動産取引価格情報,1989年,90.0,170.0,東神吉町,2025年第1四半期
加古川市,900.0,戸建て,不動産取引価格情報,,145.0,1100.0,東神吉町,2024年第4四半期
加古川市,2500.0,戸建て,不動産取引価格情報,2025年,95.0,220.0,東神吉町,2025年第3四半期
加古川市,450.0,戸建て,不動産取引価格情報,1968年,95.0,230.0,東神吉町,2025年第2四半期
加古川市,150.0,戸建て,不動産取引価格情報,1970年,80.0,175.0,東神吉町,2025年第2四半期
加古川市,1800.0,戸建て,不動産取引価格情報,1984年,200.0,230.0,東神吉町,2025年第1四半期
加古川市,850.0,戸建て,不動産取引価格情報,1972年,85.0,135.0,東神吉町,2025年第1四半期
加古川市,440.0,戸建て,不動産取引価格情報,1981年,100.0,790.0,東神吉町,2025年第1四半期
加古川市,600.0,戸建て,不動産取引価格情報,1990年,90.0,125.0,東神吉町,2025年第1四半期
加古川市,1300.0,戸建て,不動産取引価格情報,1997年,120.0,260.0,東神吉町,2025年第1四半期
加古川市,1400.0,戸建て,不動産取引価格情報,1982年,120.0,230.0,東神吉町,2024年第4四半期
加古川市,200.0,戸建て,不動産取引価格情報,1996年,,320.0,東神吉町,2024年第4四半期
加古川市,3100.0,戸建て,不動産取引価格情報,2024年,105.0,175.0,東神吉町,2024年第4四半期
加古川市,300.0,戸建て,不動産取引価格情報,1976年,65.0,115.0,東神吉町,2024年第4四半期
加古川市,690.0,戸建て,不動産取引価格情報,1982年,85.0,105.0,東神吉町,2024年第4四半期
加古川市,480.0,戸建て,不動産取引価格情報,1978年,120.0,240.0,東神吉町,2024年第4四半期
加古川市,2400.0,戸建て,不動産取引価格情報,2024年,100.0,130.0,東神吉町,2024年第4四半期
加古川市,780.0,戸建て,不動産取引価格情報,2004年,75.0,80.0,東神吉町,2024年第4四半期
加古川市,2500.0,戸建て,不動産取引価格情報,2024年,100.0,175.0,東神吉町,2024年第4四半期
加古川市,2400.0,戸建て,不動産取引価格情報,2025年,95.0,130.0,平岡町,2025年第3四半期
加古川市,1200.0,戸建て,不動産取引価格情報,1995年,95.0,100.0,平岡町,2025年第2四半期
加古川市,2100.0,戸建て,不動産取引価格情報,2005年,95.0,125.0,平岡町,2025年第1四半期
加古川市,4300.0,戸建て,不動産取引価格情報,2023年,90.0,185.0,平岡町,2025年第1四半期
加古川市,550.0,戸建て,不動産取引価格情報,1973年,85.0,145.0,平岡町,2024年第4四半期
加古川市,860.0,戸建て,不動産取引価格情報,1987年,75.0,105.0,平岡町,2025年第3四半期
加古川市,3500.0,戸建て,不動産取引価格情報,2025年,95.0,110.0,平岡町,2025年第3四半期
加古川市,20.0,戸建て,不動産取引価格情報,1966年,65.0,120.0,平岡町,2025年第3四半期
加古川市,310.0,戸建て,不動産取引価格情報,1974年,90.0,85.0,平岡町,2025年第3四半期
加古川市,25000.0,戸建て,不動産取引価格情報,1968年,900.0,,平岡町,2025年第3四半期
加古川市,500.0,戸建て,不動産取引価格情報,1964年,70.0,105.0,平岡町,2025年第3四半期
加古川市,530.0,戸建て,不動産取引価格情報,2002年,70.0,75.0,平岡町,2025年第3四半期
加古川市,200.0,戸建て,不動産取引価格情報,1972年,60.0,75.0,平岡町,2025年第2四半期
加古川市,9600.0,戸建て,不動産取引価格情報,2016年,220.0,290.0,平岡町,2025年第2四半期
加古川市,2700.0,戸建て,不動産取引価格情報,2025年,95.0,90.0,平岡町,2025年第2四半期
加古川市,400.0,戸建て,不動産取引価格情報,1975年,65.0,90.0,平岡町,2025年第2四半期
加古川市,1300.0,戸建て,不動産取引価格情報,1962年,135.0,200.0,平岡町,2025年第2四半期
加古川市,3800.0,戸建て,不動産取引価格情報,2024年,90.0,185.0,平岡町,2025年第2四半期
加古川市,800.0,戸建て,不動産取引価格情報,1971年,110.0,170.0,平岡町,2025年第2四半期
加古川市,950.0,戸建て,不動産取引価格情報,,,140.0,平岡町,2025年第2四半期
加古川市,350.0,戸建て,不動産取引価格情報,1976年,75.0,125.0,平岡町,2025年第1四半期
加古川市,1800.0,戸建て,不動産取引価格情報,2017年,95.0,100.0,平岡町,2025年第1四半期
加古川市,1200.0,戸建て,不動産取引価格情報,1989年,105.0,125.0,平岡町,2025年第1四半期
加古川市,710.0,戸建て,不動産取引価格情報,1998年,120.0,125.0,平岡町,2025年第1四半期
加古川市,200.0,戸建て,不動産取引価格情報,1976年,70.0,125.0,平岡町,2025年第1四半期
加古川市,4500.0,戸建て,不動産取引価格情報,2025年,110.0,135.0,平岡町,2025年第1四半期
加古川市,1000.0,戸建て,不動産取引価格情報,1979年,145.0,310.0,平岡町,2025年第1四半期
加古川市,1700.0,戸建て,不動産取引価格情報,1990年,115.0,200.0,平岡町,2025年第1四半期
加古川市,600.0,戸建て,不動産取引価格情報,1984年,75.0,115.0,平岡町,2024年第4四半期
加古川市,760.0,戸建て,不動産取引価格情報,1968年,60.0,110.0,平岡町,2024年第4四半期
加古川市,340.0,戸建て,不動産取引価格情報,1978年,65.0,80.0,平岡町,2024年第4四半期
加古川市,130.0,戸建て,不動産取引価格情報,1951年,185.0,750.0,平岡町,2024年第4四半期
加古川市,1600.0,戸建て,不動産取引価格情報,1975年,120.0,190.0,平岡町,2024年第4四半期
加古川市,6900.0,戸建て,不動産取引価格情報,2025年,,200.0,平岡町,2024年第4四半期
加古川市,11000.0,戸建て,不動産取引価格情報,2025年,330.0,270.0,平岡町,2024年第4四半期
加古川市,3400.0,戸建て,不動産取引価格情報,2021年,90.0,130.0,平岡町,2025年第1四半期
加古川市,1700.0,戸建て,不動産取引価格情報,1994年,95.0,135.0,平岡町,2025年第1四半期
加古川市,190.0,戸建て,不動産取引価格情報,1976年,125.0,580.0,平荘町,2024年第4四半期
加古川市,2400.0,戸建て,不動産取引価格情報,2006年,150.0,300.0,平荘町,2024年第4四半期
加古川市,1900.0,戸建て,不動産取引価格情報,2018年,95.0,145.0,別府町,2025年第2四半期
加古川市,4500.0,戸建て,不動産取引価格情報,1984年,260.0,340.0,別府町,2025年第3四半期
加古川市,880.0,戸建て,不動産取引価格情報,1976年,,360.0,別府町,2025年第1四半期
加古川市,50.0,戸建て,不動産取引価格情報,1971年,60.0,100.0,別府町,2025年第2四半期
加古川市,950.0,戸建て,不動産取引価格情報,1996年,85.0,105.0,別府町,2025年第2四半期
加古川市,2700.0,戸建て,不動産取引価格情報,2025年,95.0,100.0,別府町,2025年第1四半期
加古川市,2400.0,戸建て,不動産取引価格情報,2007年,100.0,125.0,別府町,2025年第1四半期
加古川市,3600.0,戸建て,不動産取引価格情報,1997年,360.0,370.0,別府町,2024年第4四半期
加古川市,1800.0,戸建て,不動産取引価格情報,1997年,135.0,150.0,別府町,2024年第4四半期
加古川市,5000.0,戸建て,不動産取引価格情報,1989年,230.0,460.0,別府町,2024年第4四半期
加古川市,2300.0,戸建て,不動産取引価格情報,2025年,100.0,110.0,別府町新野辺北町,2025年第3四半期
加古川市,550.0,戸建て,不動産取引価格情報,1982年,65.0,115.0,別府町新野辺北町,2024年第4四半期
加古川市,600.0,戸建て,不動産取引価格情報,1992年,90.0,165.0,別府町新野辺北町,2024年第4四半期
加古川市,1300.0,戸建て,不動産取引価格情報,2013年,100.0,160.0,別府町新野辺北町,2024年第4四半期
加古川市,150.0,戸建て,不動産取引価格情報,1977年,70.0,65.0,別府町新野辺北町,2025年第3四半期
加古川市,4500.0,戸建て,不動産取引価格情報,1997年,280.0,410.0,別府町新野辺北町,2025年第3四半期
加古川市,6900.0,戸建て,不動産取引価格情報,1987年,530.0,930.0,別府町新野辺北町,2025年第1四半期
加古川市,1200.0,戸建て,不動産取引価格情報,1995年,105.0,110.0,別府町新野辺北町,2024年第4四半期
加古川市,8600.0,戸建て,不動産取引価格情報,,560.0,900.0,別府町新野辺北町,2024年第4四半期
加古川市,1700.0,戸建て,不動産取引価格情報,1986年,120.0,530.0,八幡町,2025年第2四半期
加古川市,30.0,戸建て,不動産取引価格情報,1974年,90.0,165.0,山手,2025年第3四半期
加古川市,680.0,戸建て,不動産取引価格情報,1991年,110.0,165.0,米田町,2025年第1四半期
加古川市,800.0,戸建て,不動産取引価格情報,1969年,100.0,200.0,米田町,2025年第1四半期
加古川市,2300.0,戸建て,不動産取引価格情報,2024年,95.0,150.0,米田町,2025年第2四半期
加古川市,520.0,戸建て,不動産取引価格情報,1990年,135.0,155.0,米田町,2025年第2四半期
加古川市,4200.0,戸建て,不動産取引価格情報,2024年,115.0,250.0,米田町,2025年第1四半期
加古川市,1000.0,戸建て,不動産取引価格情報,1991年,110.0,175.0,米田町,2024年第4四半期
加古川市,280.0,マンション,成約価格情報,1971年,,50.0,野口町,2024年第4四半期
加古川市,160.0,マンション,成約価格情報,1974年,,50.0,野口町,2024年第4四半期
加古川市,1100.0,マンション,成約価格情報,1986年,,80.0,野口町,2024年第4四半期
加古川市,900.0,マンション,成約価格情報,1991年,,80.0,尾上町,2024年第4四半期
加古川市,790.0,マンション,成約価格情報,1999年,,60.0,加古川町,2024年第4四半期
加古川市,3500.0,マンション,成約価格情報,2021年,,60.0,加古川町,2024年第4四半期
加古川市,2400.0,マンション,成約価格情報,2004年,,65.0,加古川町,2024年第4四半期
加古川市,1500.0,マンション,成約価格情報,2002年,,65.0,加古川町,2024年第4四半期
加古川市,380.0,マンション,成約価格情報,1981年,,85.0,加古川町,2024年第4四半期
加古川市,2400.0,マンション,成約価格情報,2009年,,85.0,加古川町,2024年第4四半期
加古川市,1700.0,マンション,成約価格情報,2005年,,80.0,加古川町,2024年第4四半期
加古川市,900.0,マンション,成約価格情報,1992年,,70.0,加古川町,2024年第4四半期
加古川市,950.0,マンション,成約価格情報,1994年,,85.0,加古川町,2024年第4四半期
加古川市,100.0,マンション,成約価格情報,1981年,,85.0,加古川町,2024年第4四半期
加古川市,1300.0,マンション,成約価格情報,1986年,,75.0,加古川町,2024年第4四半期
加古川市,1900.0,マンション,成約価格情報,2004年,,70.0,米田町,2024年第4四半期
加古川市,1600.0,マンション,成約価格情報,2008年,,75.0,平岡町,2024年第4四半期
加古川市,860.0,マンション,成約価格情報,1994年,,85.0,平岡町,2024年第4四半期
加古川市,1300.0,マンション,成約価格情報,1985年,,70.0,平岡町,2024年第4四半期
加古川市,1400.0,マンション,成約価格情報,1998年,,75.0,平岡町,2024年第4四半期
加古川市,200.0,マンション,成約価格情報,1978年,,70.0,平岡町,2024年第4四半期
加古川市,880.0,マンション,成約価格情報,1991年,,70.0,平岡町,2024年第4四半期
加古川市,2500.0,マンション,成約価格情報,2002年,,85.0,別府町,2024年第4四半期
加古川市,1200.0,マンション,成約価格情報,1990年,,75.0,野口町,2025年第1四半期
加古川市,680.0,マンション,成約価格情報,1985年,,70.0,野口町,2025年第1四半期
加古川市,1200.0,マンション,成約価格情報,1986年,,70.0,野口町,2025年第2四半期
加古川市,900.0,マンション,成約価格情報,1992年,,65.0,野口町,2025年第2四半期
加古川市,1300.0,マンション,成約価格情報,1990年,,75.0,野口町,2025年第2四半期
加古川市,650.0,マンション,成約価格情報,1985年,,70.0,野口町,2025年第3四半期
加古川市,630.0,マンション,成約価格情報,1990年,,70.0,野口町,2025年第3四半期
加古川市,650.0,マンション,成約価格情報,1990年,,75.0,野口町,2025年第3四半期
加古川市,1400.0,マンション,成約価格情報,1996年,,65.0,野口町,2025年第3四半期
加古川市,1300.0,マンション,成約価格情報,2000年,,85.0,平岡町一色西,2025年第3四半期
加古川市,1600.0,マンション,成約価格情報,1999年,,70.0,別府町本町,2025年第3四半期
加古川市,1100.0,マンション,成約価格情報,1997年,,65.0,尾上町,2025年第1四半期
加古川市,300.0,マンション,成約価格情報,1994年,,55.0,尾上町,2025年第1四半期
加古川市,600.0,マンション,成約価格情報,1995年,,75.0,尾上町,2025年第1四半期
加古川市,830.0,マンション,成約価格情報,1991年,,65.0,尾上町,2025年第1四半期
加古川市,280.0,マンション,成約価格情報,1994年,,60.0,尾上町,2025年第2四半期
加古川市,190.0,マンション,成約価格情報,1976年,,70.0,尾上町,2025年第2四半期
加古川市,700.0,マンション,成約価格情報,1991年,,80.0,尾上町,2025年第2四半期
加古川市,140.0,マンション,成約価格情報,1978年,,65.0,尾上町,2025年第2四半期
加古川市,140.0,マンション,成約価格情報,1978年,,70.0,尾上町,2025年第2四半期
加古川市,630.0,マンション,成約価格情報,1991年,,70.0,西神吉町,2025年第2四半期
加古川市,840.0,マンション,成約価格情報,1991年,,80.0,西神吉町,2025年第2四半期
加古川市,1200.0,マンション,成約価格情報,1991年,,105.0,尾上町,2025年第3四半期
加古川市,380.0,マンション,成約価格情報,1994年,,65.0,尾上町,2025年第3四半期
加古川市,500.0,マンション,成約価格情報,1991年,,80.0,西神吉町,2025年第3四半期
加古川市,3000.0,マンション,成約価格情報,2020年,,65.0,加古川町,2025年第1四半期
加古川市,730.0,マンション,成約価格情報,1998年,,65.0,加古川町,2025年第1四半期
加古川市,1600.0,マンション,成約価格情報,2002年,,70.0,加古川町,2025年第1四半期
加古川市,630.0,マンション,成約価格情報,1993年,,60.0,加古川町,2025年第1四半期
加古川市,400.0,マンション,成約価格情報,1985年,,70.0,加古川町,2025年第1四半期
加古川市,1500.0,マンション,成約価格情報,1998年,,80.0,加古川町,2025年第1四半期
加古川市,630.0,マンション,成約価格情報,1997年,,65.0,加古川町,2025年第1四半期
加古川市,980.0,マンション,成約価格情報,1994年,,70.0,加古川町,2025年第1四半期
加古川市,2300.0,マンション,成約価格情報,2012年,,70.0,加古川町,2025年第1四半期
加古川市,1200.0,マンション,成約価格情報,1988年,,60.0,加古川町,2025年第1四半期
加古川市,250.0,マンション,成約価格情報,,,85.0,加古川町,2025年第1四半期
加古川市,650.0,マンション,成約価格情報,1997年,,60.0,加古川町,2025年第1四半期
加古川市,760.0,マンション,成約価格情報,1999年,,65.0,加古川町,2025年第1四半期
加古川市,1500.0,マンション,成約価格情報,1998年,,70.0,加古川町,2025年第1四半期
加古川市,1000.0,マンション,成約価格情報,1994年,,70.0,加古川町,2025年第1四半期
加古川市,720.0,マンション,成約価格情報,1987年,,70.0,加古川町,2025年第1四半期
加古川市,650.0,マンション,成約価格情報,1997年,,70.0,加古川町,2025年第1四半期
加古川市,1800.0,マンション,成約価格情報,2007年,,60.0,加古川町,2025年第1四半期
加古川市,1900.0,マンション,成約価格情報,2007年,,60.0,加古川町,2025年第1四半期
加古川市,1800.0,マンション,成約価格情報,2007年,,70.0,加古川町,2025年第2四半期
加古川市,1800.0,マンション,成約価格情報,2007年,,70.0,加古川町,2025年第2四半期
加古川市,3000.0,マンション,成約価格情報,2022年,,70.0,加古川町,2025年第2四半期
加古川市,500.0,マンション,成約価格情報,1994年,,70.0,加古川町,2025年第2四半期
加古川市,1800.0,マンション,成約価格情報,1999年,,65.0,加古川町,2025年第2四半期
加古川市,510.0,マンション,成約価格情報,1991年,,70.0,加古川町,2025年第2四半期
加古川市,3000.0,マンション,成約価格情報,2022年,,70.0,加古川町,2025年第2四半期
加古川市,650.0,マンション,成約価格情報,1994年,,60.0,加古川町,2025年第2四半期
加古川市,3900.0,マンション,成約価格情報,2016年,,75.0,加古川町,2025年第2四半期
加古川市,650.0,マンション,成約価格情報,1999年,,70.0,加古川町,2025年第2四半期
加古川市,990.0,マンション,成約価格情報,1998年,,65.0,加古川町,2025年第2四半期
加古川市,1600.0,マンション,成約価格情報,2007年,,70.0,加古川町,2025年第2四半期
加古川市,760.0,マンション,成約価格情報,1985年,,70.0,加古川町,2025年第2四半期
加古川市,1900.0,マンション,成約価格情報,1998年,,90.0,加古川町,2025年第3四半期
加古川市,490.0,マンション,成約価格情報,1989年,,80.0,加古川町,2025年第3四半期
加古川市,650.0,マンション,成約価格情報,1999年,,65.0,加古川町,2025年第3四半期
加古川市,1200.0,マンション,成約価格情報,1980年,,70.0,加古川町,2025年第3四半期
加古川市,2600.0,マンション,成約価格情報,2006年,,75.0,加古川町,2025年第3四半期
加古川市,970.0,マンション,成約価格情報,1991年,,80.0,加古川町,2025年第3四半期
加古川市,3200.0,マンション,成約価格情報,2012年,,70.0,加古川町,2025年第3四半期
加古川市,2900.0,マンション,成約価格情報,2002年,,80.0,加古川町,2025年第3四半期
加古川市,1100.0,マンション,成約価格情報,1992年,,75.0,加古川町,2025年第3四半期
加古川市,900.0,マンション,成約価格情報,1990年,,75.0,加古川町,2025年第3四半期
加古川市,1500.0,マンション,成約価格情報,2002年,,60.0,加古川町,2025年第3四半期
加古川市,1300.0,マンション,成約価格情報,1999年,,70.0,加古川町,2025年第3四半期
加古川市,1100.0,マンション,成約価格情報,1985年,,90.0,加古川町,2025年第3四半期
加古川市,990.0,マンション,成約価格情報,1997年,,70.0,平岡町,2025年第1四半期
加古川市,950.0,マンション,成約価格情報,1991年,,70.0,平岡町,2025年第1四半期
加古川市,3300.0,マンション,成約価格情報,2021年,,80.0,平岡町,2025年第1四半期
加古川市,690.0,マンション,成約価格情報,2020年,,80.0,平岡町,2025年第1四半期
加古川市,880.0,マンション,成約価格情報,1986年,,70.0,平岡町,2025年第1四半期
加古川市,850.0,マンション,成約価格情報,1985年,,80.0,平岡町,2025年第1四半期
加古川市,300.0,マンション,成約価格情報,1978年,,70.0,平岡町,2025年第1四半期
加古川市,680.0,マンション,成約価格情報,1978年,,55.0,平岡町,2025年第1四半期
加古川市,1400.0,マンション,成約価格情報,1996年,,85.0,別府町,2025年第1四半期
加古川市,850.0,マンション,成約価格情報,1992年,,65.0,別府町,2025年第1四半期
加古川市,1900.0,マンション,成約価格情報,2007年,,80.0,平岡町,2025年第2四半期
加古川市,370.0,マンション,成約価格情報,1979年,,65.0,平岡町,2025年第2四半期
加古川市,780.0,マンション,成約価格情報,1999年,,60.0,平岡町,2025年第2四半期
加古川市,240.0,マンション,成約価格情報,1978年,,70.0,平岡町,2025年第2四半期
加古川市,230.0,マンション,成約価格情報,1980年,,95.0,平岡町,2025年第2四半期
加古川市,680.0,マンション,成約価格情報,1999年,,65.0,平岡町,2025年第2四半期
加古川市,780.0,マンション,成約価格情報,1998年,,65.0,平岡町,2025年第2四半期
