年,市,人口
2018,高砂市,87589
2019,高砂市,86900
2020,高砂市,86054
2021,高砂市,85195
2022,高砂市,84334
2023,高砂市,83556
2024,高砂市,82871
2018,加古川市,263078
2019,加古川市,261946
2020,加古川市,260560
2021,加古川市,259067
2022,加古川市,258074
2023,加古川市,257279
2024,加古川市,256632
2018,明石市,293157
2019,明石市,294898
2020,明石市,295685
2021,明石市,296554
2022,明石市,296826
2023,明石市,297030
2024,明石市,297230
